"Start.station.number","Start.station","bikes.rented"
31230,"Metro Center / 12th & G St NW",78
31231,"14th & D St NW / Ronald Reagan Building",73
31232,"7th & F St NW / National Portrait Gallery",80
31233,"17th & K St NW / Farragut Square",58
31234,"20th & O St NW / Dupont South",62
31235,"19th St & Constitution Ave NW",19
31236,"37th & O St NW / Georgetown University",30
31237,"25th St & Pennsylvania Ave NW",50
31238,"14th & G St NW",50
31239,"17th & Rhode Island Ave NW",73
31240,"Ohio Dr & West Basin Dr SW / MLK & FDR Memorials",38
31241,"Thomas Circle",103
31242,"18th St & Pennsylvania Ave NW",45
31243,"Maryland & Independence Ave SW",91
31244,"4th & E St SW",59
31245,"7th & R St NW / Shaw Library",53
31246,"M St & Pennsylvania Ave NW",44
31247,"Jefferson Dr & 14th St SW",98
31248,"Smithsonian / Jefferson Dr & 12th St SW",94
31249,"Jefferson Memorial",96
31250,"20th & L St NW",25
31251,"12th & L St NW",47
31252,"21st St & Pennsylvania Ave NW",37
31253,"19th & K St NW",24
31254,"15th & K St NW",42
31255,"24th & N St NW",46
31256,"10th & E St NW",46
31257,"22nd & I St NW / Foggy Bottom",58
31258,"Lincoln Memorial",109
31259,"20th St & Virginia Ave NW",25
31260,"23rd & E St NW ",35
31261,"21st St & Constitution Ave NW",23
31262,"11th & F St NW",34
31263,"10th & K St NW",39
31264,"6th St & Indiana Ave NW",38
31265,"5th St & Massachusetts Ave NW",78
31266,"11th & M St NW",78
31267,"17th St & Massachusetts Ave NW",62
31268,"12th & U St NW",32
31269,"3rd St & Pennsylvania Ave SE",54
31270,"8th & D St NW",63
31271,"Constitution Ave & 2nd St NW/DOL",69
31272,"Washington & Independence Ave SW/HHS",51
31273,"Hains Point/Buckeye & Ohio Dr SW",25
31274,"MLK Library/9th & G St NW",36
31275,"New Hampshire Ave & 24th St NW",40
31276,"15th & L St NW",41
31277,"17th & G St NW",74
31278,"18th & R St NW",66
31279,"19th & G St NW",35
31280,"11th & S St NW",27
31281,"8th & O St NW",55
31282,"16th & R St NW",38
31283,"14th & L St NW",42
31284,"18th & C St NW",27
31285,"22nd & P ST NW",35
31286,"11th & O St NW",45
31287,"10th St & L'Enfant Plaza SW",16
31288,"4th St & Madison Dr NW",44
31289,"Henry Bacon Dr & Lincoln Memorial Circle NW",82
31290,"17th St & Independence Ave SW",34
31300,"Van Ness Metro / UDC",22
