"Closing_Price","YearSold","Living_Sq_Ft","Bedrooms","Bathrooms","Year_Built","Lot_Sq_Ft","Product_Type","Sale_Date","Subdivision_Name","Latitude","Longitude","Closing_Price_per_sqft"
541975,"2005-2008",4892,4,4,1992,57064,"SINGLE FAMILY","04/21/2005","*Unknown or Custom Home",45.668259,-110.995519,110.788021259199
328985,"2005-2008",2006,4,2.5,2003,12197,"SINGLE FAMILY","09/25/2008","ELK GROVE",45.64364,-111.187341,164.000498504487
500000,"2009-2013",2808,4,2.5,2004,11761,"SINGLE FAMILY","10/06/2011","WEST MEADOWS",45.644305,-111.037191,178.062678062678
162260,"2005-2008",1970,3,2,2004,6970,"SINGLE FAMILY","11/16/2007","HARVEST CREEK",45.689013,-111.080084,82.3654822335025
37663,"2009-2013",2938,4,2.5,2010,11761,"SINGLE FAMILY","03/12/2010","ALDER CREEK",45.6462193944,-111.051272475,12.8192648059905
272517,"2005-2008",1388,3,2.5,1999,3485,"TYPE UNKNOWN","08/31/2006","PARKWAY PLAZA",45.673849,-111.08397,196.337896253602
368750,"2009-2013",2999,3,2.5,2005,8276,"SINGLE FAMILY","09/21/2009","ALDER CREEK",45.647369,-111.049446,122.95765255085
118750,"2009-2013",1426,3,2,2004,2614,"SINGLE FAMILY","04/13/2011","BAXTER MEADOWS",45.701587,-111.092052,83.2748948106592
281295,"2005-2008",1323,3,1.5,1965,9148,"SINGLE FAMILY","07/20/2005","BRUNTON PALFFY",45.683365,-111.049296,212.619047619048
272500,"2009-2013",1416,3,2,1979,43560,"SINGLE FAMILY","02/09/2012","WILDFLOWER",45.751522,-111.102321,192.443502824859
218111,"2009-2013",1456,3,2,1995,23087,"SINGLE FAMILY","08/31/2012","VALLEY GROVE",45.729773,-111.129053,149.801510989011
704900,"2005-2008",3321,3,3,1993,7405,"CONDOMINIUM","10/05/2007","RIVERSIDE GREENS",45.729613,-111.067934,212.25534477567
190210,"2009-2013",1502,3,2,2009,5227,"SINGLE FAMILY","12/30/2010","VALLEY WEST",45.682138,-111.102857,126.637816245007
157500,"2009-2013",1092,3,1,1940,7405,"SINGLE FAMILY","06/15/2010","SPRINGBROOK",45.681141,-111.051069,144.230769230769
318535,"2005-2008",1485,3,2,2004,6970,"SINGLE FAMILY","08/18/2006","HARVEST CREEK",45.687571,-111.078559,214.501683501683
244188,"2005-2008",1537,3,2,2001,7841,"SINGLE FAMILY","07/20/2006","BABCOCK MEADOWS",45.676278,-111.077397,158.873129472999
388451,"2005-2008",722,3,1,1935,7405,"SINGLE FAMILY","08/25/2006","ROUSE SOUTH",45.681222,-111.027231,538.020775623269
171325,"2005-2008",997,2,1,1981,1742,"CONDOMINIUM","08/07/2008","KIMBERLY TOWNHOMES RICHARDS",45.676744,-111.058318,171.840521564694
271652,"2005-2008",1193,3,1.5,1991,10019,"SINGLE FAMILY","05/05/2006","VALLEY",45.685486,-111.090207,227.704945515507
237375,"2009-2013",1139,4,1,1920,6970,"SINGLE FAMILY","08/23/2013","*Unknown or Custom Home",45.675022,-111.04255,208.406496927129
281250,"2009-2013",1872,3,2,1950,7405,"SINGLE FAMILY","06/21/2012","*Unknown or Custom Home",45.677662,-111.03231,150.240384615385
817950,"2005-2008",3786,4,3.5,2001,49658,"SINGLE FAMILY","06/29/2007","PAINTED HILLS",45.645832,-111.00925,216.045958795563
307000,"2005-2008",1531,3,3,2001,20038,"SINGLE FAMILY","05/01/2008","VALLEY GROVE",45.733892,-111.14319,200.522534291313
210625,"2009-2013",1652,3,2,1963,9583,"SINGLE FAMILY","08/27/2009","ROYAL VISTA",45.691159,-111.048876,127.496973365617
280000,"2005-2008",2187,3,2.5,2001,7841,"SINGLE FAMILY","05/19/2008","FERGUSON MEADOWS",45.681894,-111.093161,128.029263831733
265893,"2005-2008",1680,3,2,2005,6534,"SINGLE FAMILY","08/24/2005","HARVEST CREEK",45.692527,-111.080408,158.269642857143
62500,"2009-2013",1611,3,2,2004,9583,"SINGLE FAMILY","06/10/2010","LAUREL GLEN",45.69001,-111.116849,38.7957790192427
401660,"2005-2008",2038,3,2.5,2005,12197,"SINGLE FAMILY","02/09/2006","ELK GROVE",45.64067,-111.180798,197.085377821394
137500,"2009-2013",2292,3,2.5,2010,3920,"UNCONFIRMED SIN","06/11/2010","TRADITIONS",45.687301,-111.108161,59.9912739965096
345000,"2009-2013",3871,5,3.5,2007,6970,"SINGLE FAMILY","10/05/2010","VALLEY WEST",45.679805,-111.099057,89.1242572978558
218894,"2009-2013",1668,3,3,2000,7405,"SINGLE FAMILY","03/01/2013","HARVEST CREEK",45.687161,-111.072887,131.231414868106
336224,"2005-2008",2146,4,2,1977,10019,"SINGLE FAMILY","07/06/2005","*Unknown or Custom Home",45.660233,-111.022161,156.674743709226
307190,"2005-2008",3067,4,3,2008,7405,"SINGLE FAMILY","10/30/2008","NORTH STAR",45.680595,-111.194071,100.159765242908
295000,"2005-2008",1512,3,2,1949,5663,"SINGLE FAMILY","05/22/2008","WEST PARK",45.673048,-111.051123,195.10582010582
521250,"2009-2013",3756,4,3.5,2001,43560,"SINGLE FAMILY","09/30/2013","MINOR",45.64009,-111.046485,138.777955271566
451801,"2005-2008",3132,5,3,2001,9148,"SINGLE FAMILY","06/05/2006","NEW HYALITE VIEW",45.66293,-111.014145,144.25319284802
554610,"2005-2008",3476,5,4.5,2005,11326,"SINGLE FAMILY","08/08/2006","VALLEY WEST",45.680351,-111.100919,159.554085155351
337500,"2009-2013",2304,4,2,1940,9583,"SINGLE FAMILY","07/22/2013","CAPITOL HILL",45.670334,-111.045765,146.484375
319200,"2005-2008",1461,4,1.5,1880,6534,"SINGLE FAMILY","08/31/2007","LINDLEY GUY",45.675268,-111.033954,218.480492813142
1013338,"2005-2008",4962,3,3.5,2004,46174,"SINGLE FAMILY","11/13/2006","GREENHILLS RANCH",45.571912,-111.102204,204.21966948811
140562,"2009-2013",2247,3,3,2008,21760,"CONDOMINIUM","06/19/2013","PERENNIAL HEIGHTS CONDOS NORTHS",45.680124,-111.189335,62.5554072096128
1117200,"2005-2008",5365,4,4.5,2004,17860,"SINGLE FAMILY","06/01/2007","WEST MEADOWS",45.642889,-111.032855,208.238583410997
321250,"2009-2013",2051,4,2,1991,43560,"SINGLE FAMILY","05/29/2013","ARROWLEAF HILLS",45.653478737,-111.000360818,156.630911750366
180348,"2005-2008",1268,3,2,1998,6098,"CONDOMINIUM","07/27/2007","GLENWOOD MEADOWS CONDOS",45.68085,-111.07468,142.230283911672
299000,"2009-2013",824,2,1,1930,5663,"SINGLE FAMILY","10/01/2013","BEALLS RD",45.685183,-111.040428,362.864077669903
343750,"2005-2008",2356,3,2.5,2007,3920,"TYPE UNKNOWN","06/19/2008","LEGENDS BRIDGER CREEK",45.706591,-111.019562,145.904074702886
428125,"2009-2013",3180,4,2.5,2003,37026,"SINGLE FAMILY","05/17/2012","RAINBOW BOZEMAN HOT SPRINGS",45.64619,-111.195231,134.630503144654
239500,"2009-2013",1250,3,2,2003,7841,"SINGLE FAMILY","06/12/2009","HARVEST CREEK",45.685993,-111.082224,191.6
374382,"2009-2013",2548,4,2.5,2006,9148,"SINGLE FAMILY","10/15/2013","OAK SPRINGS",45.690759,-111.08597,146.931711145997
307496,"2005-2008",1757,3,2,2005,7841,"SINGLE FAMILY","06/09/2006","LAUREL GLEN",45.686594,-111.11518,175.011952191235
497420,"2005-2008",2686,4,2.5,2004,8712,"SINGLE FAMILY","06/22/2005","BAXTER MEADOWS",45.700755,-111.093834,185.189873417722
125000,"2009-2013",1430,2,2,1996,217800,"SINGLE FAMILY","10/17/2013","COTTONWOOD MEADOWS",45.587959,-111.161252,87.4125874125874
301976,"2005-2008",1790,3,2.5,2004,4356,"TYPE UNKNOWN","08/10/2007","WALTON HOMESTEAD NBHD",45.688834,-111.056599,168.701675977654
393680,"2005-2008",1798,3,2,1995,130680,"SINGLE FAMILY","06/29/2006","CERTIFICATE SURV",45.748241,-111.095314,218.954393770857
424935,"2005-2008",2462,3,2.5,2005,12197,"SINGLE FAMILY","10/28/2005","ELK GROVE",45.643634,-111.186264,172.597481722177
